,FW_flat,SC_variable,max_ramp,solar_cf
t606,124.7,87.4,841.84,0
t607,125.2,88.7,863.26,0
t608,125.7,91.4,885.18,0
t609,126,93.9,905.14,0.01
t610,125.9,95.9,925.83,0.01
t611,125.8,98.3,945.66,0.01
t612,125.8,100.6,964.31,0.01
t613,126.1,103.3,988.6,0.1
t614,126.5,106,1004.79,0.1
t615,126.6,108.1,1023.62,0.1
t616,126.9,110.3,1039.98,0.1
t617,127.3,113,1056.44,0.1
t618,127.9,115.4,1075.26,0.1
t619,128.6,117.6,1089.02,0.1
t620,129.4,119.9,1103.39,0.1
t621,129.7,121.9,1125.56,0.11
t622,130,124,1140.71,0.11
t623,130.6,125.6,1159.87,0.11
t624,131.4,127.8,1171.74,0.11
t625,132.6,129.9,1186.7,0.19
t626,133.4,131.9,1205.21,0.19
t627,134.5,133.7,1217.53,0.19
t628,135,135.3,1229.4,0.19
t629,135.4,137.1,1237.43,0.06
t630,136.1,138.7,1249.84,0.06
t631,137.3,140,1258.82,0.06
t632,137.9,141.5,1270.8,0.06
t633,138.8,142,1287.95,0.05
t634,140.1,143.5,1301.51,0.05
t635,140.7,145,1304.94,0.05
t636,140.9,145.6,1318.13,0.05
t637,139.2,146.7,1322.91,0.04
t638,139.9,147.4,1323.71,0.04
t639,140.9,147.9,1336.8,0.04
t640,141.7,148.3,1338.9,0.04
t641,142.5,148.6,1337.08,0.02
t642,143.7,149.1,1339.96,0.02
t643,144.1,149.3,1342.18,0.02
t644,143.4,149.7,1342.57,0.02
t645,143.3,149.1,1339.79,0
t646,143.3,148.9,1330.89,0
t647,143.5,148.3,1325.2,0
t648,143.3,147.6,1317.8,0
t649,142.3,146.4,1315.35,0
t650,141.4,145.3,1303.42,0
t651,140.3,143.5,1285.42,0
t652,139.8,142.2,1273.16,0
t653,139.5,140.5,1264.25,0
t654,140,139.3,1254.23,0
t655,140.4,138.5,1256.73,0
t656,139.7,138.1,1251.45,0
t657,138.9,136.2,1242.56,0
t658,138.2,134.7,1230.51,0
t659,137.5,132.6,1209.61,0
t660,135.5,129.6,1189.9,0
t661,135.6,127.8,1165.59,0
t662,135,125.9,1142.57,0
t663,134.3,123.1,1119.76,0
t664,133.4,120.3,1088.42,0
t665,132.5,117.4,1060.55,0
t666,131.9,115.5,1037.63,0
t667,131.3,112.9,1006.99,0
t668,130.1,110.8,988.56,0
t669,129.5,108.5,969.31,0
t670,129.1,105.7,942.98,0
t671,128.6,103.4,932.13,0
t672,127.9,101.2,918.7,0
